lat,lon,store
-6.7597,108.51581,V406
-6.97143,109.13423,V408
-7.00851,110.3743,H725
-7.42559,110.68896,O547
-7.04228,107.98726,BC39
3.89589,98.42599,W249
-6.26214,107.33319,1J29
-6.1495,106.83506,J871
1.18773,109.08574,1P90
-5.88745,106.04845,T984
-7.64536,112.90138,Y174
-4.63021,105.15792,P362
-7.21148,107.85821,B997
-6.1956,107.29689,1J06
-7.61057,110.81694,O587
3.17069,99.41953,W290
-6.94769,109.1868,V381
-6.32687,107.55821,1J17
-6.16376,106.72234,KB09
-6.16304,106.73898,K204
-6.20562,106.80974,J874
-8.64316,115.17929,Q379
-6.59094,106.86557,X631
-7.23305,106.51822,X602
-1.26904,102.13407,1DE4
-6.25278,107.08606,CD50
-8.65233,116.51918,1S12
-6.17796,106.70226,AD88
-6.57621,105.856,T960
-6.25345,106.84012,KB69
-7.55933,112.31331,M742
3.69354,98.50754,W243
-3.26763,103.83219,P434
-7.04974,107.77574,BC69
-7.01272,108.35712,V475
1.3581,109.29544,1P95
-6.38045,107.51171,1J21
-7.47811,112.48355,M842
-2.96785,104.80293,P424
-7.89316,112.60745,M835
-6.14546,106.8595,J833
0.91251,108.9861,1P41
-6.65147,106.88669,X595
-6.96414,107.58555,N552
-7.54973,111.63941,O577
-6.89898,113.48674,U631
-2.99816,104.77259,P422
-7.22515,109.3364,I120
-6.22653,106.93013,J877
-4.28561,104.44375,P446
-6.09201,106.69407,T988
0.93644,108.98165,1P22
-7.38971,112.65254,U626
-6.71777,107.07257,N573
-7.72509,111.53376,O565
-6.18891,106.80888,J847
-6.24515,106.96659,CD53
-7.54445,110.74461,O127
-4.8301,104.88769,L194
-7.00285,107.55272,N562
-5.34286,104.97481,L477
-7.75994,113.20707,Y254
-7.21327,106.62364,X668
0.47245,101.41809,1AF5
-6.96613,107.55385,N575
-7.31859,108.21887,BC55
-1.88989,102.29997,1DE6
3.12016,99.14407,W264
-6.68562,107.42909,1J24
-6.06395,107.16186,1J20
-6.34601,106.63783,1M55
-6.13058,106.85413,J862
-0.06321,109.2518,1P52
3.55825,98.63498,W276
-2.05797,102.27424,1DD1
-7.16965,107.98304,BC57
-6.99166,107.82403,BC51
-6.32205,107.03771,CD10
-7.554,110.81205,O116
-6.96999,110.43761,H716
-1.86319,102.29238,1DE1
-6.29603,107.32619,1J10
-6.29196,107.36507,1J09
-8.63835,116.09394,1S15
-8.59235,116.42074,1S22
-7.22314,112.75144,U211
-3.75873,114.76772,1G77
-8.62585,116.86505,1S27
-7.56445,110.76568,O612
1.44469,125.17318,1Y51
-6.2572,106.81773,KB81
-7.79211,113.31432,Y283
1.48071,124.85269,1Y63
